URL,Status,
http://acadiana.localhost.score.org ,OK,
http://akron.localhost.score.org ,OK,
http://alabamacapitol.localhost.score.org ,OK,
http://alaska.localhost.score.org ,OK,
http://albuquerque.localhost.score.org ,OK,
http://alleghenies.localhost.score.org ,OK,
http://anderson.localhost.score.org ,OK,
http://annarborarea.localhost.score.org ,OK,
http://anniston.localhost.score.org ,OK,
http://antelopevalley.localhost.score.org ,OK,
http://ardmore.localhost.score.org ,OK,
http://arkvalley.localhost.score.org ,OK,
http://asheboro.localhost.score.org ,OK,
http://asheville.localhost.score.org ,OK,
http://atlanta.localhost.score.org ,OK,
http://auburn.localhost.score.org ,OK,
http://augustaga.localhost.score.org ,OK,
http://augustame.localhost.score.org ,OK,
http://austin.localhost.score.org ,,OK
http://bakersfield.localhost.score.org ,OK,
http://bangor.localhost.score.org ,OK,
http://batonrougearea.localhost.score.org ,OK,
http://bellingham.localhost.score.org ,OK,
http://bergen.localhost.score.org ,OK,
http://billings.localhost.score.org ,OK,
http://birmingham.localhost.score.org ,OK,
http://bismarckmandan.localhost.score.org ,OK,
http://bitterroot.localhost.score.org ,OK,
http://bizclips.localhost.score.org ,OK,
http://bloomington.localhost.score.org ,OK,
http://boston.localhost.score.org ,OK,
http://bozeman.localhost.score.org ,OK,
http://bristol.localhost.score.org ,OK,
http://broward.localhost.score.org ,OK,
http://buckhannon.localhost.score.org ,OK,
http://buckscounty.localhost.score.org ,OK,
http://buffaloniagara.localhost.score.org ,OK,
http://butte.localhost.score.org ,OK,
http://canton.localhost.score.org ,OK,
http://capecod.localhost.score.org ,OK,
http://casper.localhost.score.org ,OK,
http://cedarvalley.localhost.score.org ,OK,
http://centralflorida.localhost.score.org ,OK,
http://centralillinois.localhost.score.org ,OK,
http://centraliowa.localhost.score.org ,OK,
http://centraljersey.localhost.score.org ,OK,
http://centralmaine.localhost.score.org ,OK,
http://centralminnesota.localhost.score.org ,OK,
http://centralnebraska.localhost.score.org ,OK,
http://centraloregon.localhost.score.org ,OK,
http://centralpa.localhost.score.org ,OK,
http://centralutah.localhost.score.org ,OK,
http://centralvalley.localhost.score.org ,OK,
http://centralvirginia.localhost.score.org ,OK,
http://centralwashington.localhost.score.org ,OK,
http://centralwisconsin.localhost.score.org ,OK,
http://ch5500.localhost.score.org ,OK,
http://champlainvalley.localhost.score.org ,OK,
http://chapelhill.localhost.score.org ,OK,
http://chapter-148310.localhost.score.org ,OK,
http://chapter-797691.localhost.score.org ,OK,
http://chapter-824752.localhost.score.org ,OK,
http://charleston.localhost.score.org ,OK,
http://charlestonsc.localhost.score.org ,OK,
http://charlotte.localhost.score.org ,OK,
http://chattanooga.localhost.score.org ,OK,
http://chemung.localhost.score.org ,OK,
http://chestercounty.localhost.score.org ,OK,
http://cheyenne.localhost.score.org ,OK,
http://chicago.localhost.score.org ,OK,
http://citruscounty.localhost.score.org ,OK,
http://cleveland.localhost.score.org ,OK,
http://clintonfranklinessex.localhost.score.org ,OK,
http://coachellavalley.localhost.score.org ,OK,
http://coastalcarolina.localhost.score.org ,OK,
http://coloradosprings.localhost.score.org ,OK,
http://columbusga.localhost.score.org ,OK,
http://columbusne.localhost.score.org ,OK,
http://columbusoh.localhost.score.org ,OK,
http://corpuschristi.localhost.score.org ,OK,
http://dallas.localhost.score.org ,OK,
http://dalton.localhost.score.org ,OK,
http://dayton.localhost.score.org ,OK,
http://decatur.localhost.score.org ,OK,
http://delaware.localhost.score.org ,OK,
http://delawarecounty.localhost.score.org ,OK,
http://denver.localhost.score.org ,OK,
http://desmoines.localhost.score.org ,OK,
http://detroit.localhost.score.org ,OK,
http://downeast.localhost.score.org ,OK,
http://downeastmaine.localhost.score.org ,OK,
http://dubuquearea.localhost.score.org ,OK,
http://dutchess.localhost.score.org ,OK,
http://eastbay.localhost.score.org ,OK,
http://eastcarolina.localhost.score.org ,OK,
http://eastcentraliowa.localhost.score.org ,OK,
http://eastcentralohio.localhost.score.org ,OK,
http://easternidaho.localhost.score.org ,OK,
http://easttexas.localhost.score.org ,OK,
http://eastvalley.localhost.score.org ,OK,
http://eci.localhost.score.org ,OK,
http://elkhart.localhost.score.org ,OK,
http://erie.localhost.score.org ,OK,
http://essexhudsonunioncounties.localhost.score.org ,OK,
http://evansville.localhost.score.org ,OK,
http://fairfieldcounty.localhost.score.org ,OK,
http://fargo.localhost.score.org ,OK,
http://fortdodge.localhost.score.org ,OK,
http://fortwayne.localhost.score.org ,OK,
http://fortworth.localhost.score.org ,OK,
http://foxcities.localhost.score.org ,OK,
http://foxvalley.localhost.score.org ,OK,
http://frederick.localhost.score.org ,OK,
http://ftvancouver.localhost.score.org ,OK,
http://goldenbelt.localhost.score.org ,OK,
http://goldentriangle.localhost.score.org ,OK,
http://grandrapids.localhost.score.org ,OK,
http://grandstrand.localhost.score.org ,OK,
http://greaterbaltimore.localhost.score.org ,OK,
http://greaterbinghamton.localhost.score.org ,OK,
http://greaterbridgeport.localhost.score.org ,OK,
http://greaterchicoarea.localhost.score.org ,OK,
http://greatercincinnati.localhost.score.org ,OK,
http://greaterhartford.localhost.score.org ,OK,
http://greaterknoxville.localhost.score.org ,OK,
http://greaterlosangeles.localhost.score.org ,OK,
http://greaterlynchburg.localhost.score.org ,OK,
http://greaterphoenix.localhost.score.org ,OK,
http://greaterrochester.localhost.score.org ,OK,
http://greaterwabashvalley.localhost.score.org ,OK,
http://greatfalls.localhost.score.org ,OK,
http://greenbay.localhost.score.org ,OK,
http://greenbriervalley.localhost.score.org ,OK,
http://greensboro.localhost.score.org ,OK,
http://gulfcoast.localhost.score.org ,OK,
http://hagerstown.localhost.score.org ,OK,
http://hamptonroads.localhost.score.org ,OK,
http://harrisburg.localhost.score.org ,OK,
http://hawaii.localhost.score.org ,OK,
http://helena.localhost.score.org ,OK,
http://highpoint.localhost.score.org ,OK,
http://holland.localhost.score.org ,OK,
http://houston.localhost.score.org ,OK,
http://huntington.localhost.score.org ,OK,
http://huntsville.localhost.score.org ,OK,
http://hutchinson.localhost.score.org ,OK,
http://illowa.localhost.score.org ,OK,
http://indianapolis.localhost.score.org ,OK,
http://inlandempire.localhost.score.org ,OK,
http://iowacity.localhost.score.org ,OK,
http://iowalakes.localhost.score.org ,OK,
http://jacksonville.localhost.score.org ,OK,
http://kalamazoo.localhost.score.org ,OK,
http://kankakeevalley.localhost.score.org ,OK,
